"month","date","State","Expected","Population","Observed","monthlyxs","sumxs","correctedpopulation","irxsuncorrected","irxscorrected","expcorr","xscorrMO","irxscorr"
201505,2015-05-01,"Connecticut",2487,3589155.66666667,2487,0,0,3589155.66666667,0,0,2487,0,0
201505,2015-05-01,"Delaware",696,941320.5,696,0,0,941320.5,0,0,696,0,0
201505,2015-05-01,"District of Columbia",351,675896.416666667,351,0,0,675896.416666667,0,0,351,0,0
201505,2015-05-01,"Florida",16238,20188675.0833333,16238,0,0,20188675.0833333,0,0,16238,-1.81898940354586e-12,-9.00994937031563e-15
201505,2015-05-01,"Georgia",6520,10174007.25,6520,0,0,10174007.25,0,0,6520,0,0
201505,2015-05-01,"Hawaii",956,1422360.33333333,956,0,0,1422360.33333333,0,0,956,0,0
201505,2015-05-01,"Idaho",1152,1650807.75,1152,0,0,1650807.75,0,0,1152,0,0
201505,2015-05-01,"Illinois",8839,12861710.5833333,8839,0,0,12861710.5833333,0,0,8839,0,0
201505,2015-05-01,"Indiana",5222,6610156.75,5222,0,0,6610156.75,0,0,5222,0,0
201505,2015-05-01,"Iowa",2382,3121549.5,2382,0,0,3121549.5,0,0,2382,0,0
201505,2015-05-01,"Kansas",2159,2909979,2159,0,0,2909979,0,0,2159,0,0
201505,2015-05-01,"Kentucky",3865,4428114.83333333,3865,0,0,4428114.83333333,0,0,3865,0,0
201505,2015-05-01,"Louisiana",3552,4665243,3552,0,0,4665243,0,0,3552,0,0
201505,2015-05-01,"Maine",1194,1329274.58333333,1194,0,0,1329274.58333333,0,0,1194,0,0
201505,2015-05-01,"Maryland",3880,5986156,3880,0,0,5986156,0,0,3880,4.54747350886464e-13,7.59665051974028e-15
201505,2015-05-01,"Massachusetts",4860,6794765.66666667,4860,0,0,6794765.66666667,0,0,4860,0,0
201505,2015-05-01,"Michigan",7874,9934278.83333333,7874,0,0,9934278.83333333,0,0,7874,0,0
201505,2015-05-01,"Minnesota",3496,5481390.58333333,3496,0,0,5481390.58333333,0,0,3496,0,0
201505,2015-05-01,"Mississippi",2695,2990369.41666667,2695,0,0,2990369.41666667,0,0,2695,0,0
201505,2015-05-01,"Missouri",4894,6074054.25,4894,0,0,6074054.25,0,0,4894,0,0
201505,2015-05-01,"Montana",875,1030758.5,875,0,0,1030758.5,0,0,875,0,0
201505,2015-05-01,"Nebraska",1369,1891050.33333333,1369,0,0,1891050.33333333,0,0,1369,0,0
201505,2015-05-01,"Nevada",1857,2864398,1857,0,0,2864398,0,0,1857,0,0
201505,2015-05-01,"New Hampshire",998,1337211.41666667,998,0,0,1337211.41666667,0,0,998,0,0
201505,2015-05-01,"New Jersey",5929,8870059.08333333,5929,0,0,8870059.08333333,0,0,5929,0,0
201505,2015-05-01,"New Mexico",1395,2090084.75,1395,0,0,2090084.75,0,0,1395,0,0
201505,2015-05-01,"New York",12570,19656996.8333333,12570,0,0,19656996.8333333,0,0,12570,0,0
201505,2015-05-01,"North Carolina",7163,10028891.0833333,7163,0,0,10028891.0833333,0,0,7163,0,0
201505,2015-05-01,"North Dakota",499,754136.916666667,499,0,0,754136.916666667,0,0,499,0,0
201505,2015-05-01,"Ohio",9656,11621003.1666667,9656,0,0,11621003.1666667,0,0,9656,0,0
201505,2015-05-01,"Oklahoma",3157,3907907.08333333,3157,0,0,3907907.08333333,0,0,3157,0,0
201505,2015-05-01,"Oregon",3074,4014117.41666667,3074,0,0,4014117.41666667,0,0,3074,0,0
201505,2015-05-01,"Pennsylvania",10940,12790050.8333333,10940,0,0,12790050.8333333,0,0,10940,0,0
201505,2015-05-01,"Rhode Island",842,1056854.75,842,0,0,1056854.75,0,0,842,0,0
201505,2015-05-01,"South Carolina",3870,4890243.66666667,3870,0,0,4890243.66666667,0,0,3870,-4.54747350886464e-13,-9.29907345898027e-15
201505,2015-05-01,"South Dakota",610,854246.916666667,610,0,0,854246.916666667,0,0,610,0,0
201505,2015-05-01,"Tennessee",5446,6591125.91666667,5446,0,0,6591125.91666667,0,0,5446,0,0
201505,2015-05-01,"Texas",15850,27426411.0833333,15850,0,0,27426411.0833333,0,0,15850,0,0
201505,2015-05-01,"Utah",1439,2979851.08333333,1439,0,0,2979851.08333333,0,0,1439,0,0
201505,2015-05-01,"Vermont",497,625800.25,497,0,0,625800.25,0,0,497,5.6843418860808e-14,9.0833167389767e-15
201505,2015-05-01,"Virginia",5324,8362980.25,5324,0,0,8362980.25,0,0,5324,0,0
201505,2015-05-01,"Washington",4626,7158140.66666667,4626,0,0,7158140.66666667,0,0,4626,0,0
201505,2015-05-01,"West Virginia",1828,1843935.08333333,1828,0,0,1843935.08333333,0,0,1828,0,0
201505,2015-05-01,"Wisconsin",4013,5762116.33333333,4013,0,0,5762116.33333333,0,0,4013,0,0
201505,2015-05-01,"Wyoming",362,586119.833333333,362,0,0,586119.833333333,0,0,362,0,0
201506,2015-06-01,"Alabama",3996,4854803,3996,0,0,4854803,0,0,3996,0,0
201506,2015-06-01,"Alaska",339,738430,339,0,0,738430,0,0,339,0,0
201506,2015-06-01,"Arizona",4393,6832810,4393,0,0,6832810,0,0,4393,0,0
201506,2015-06-01,"Arkansas",2425,2979732,2425,0,0,2979732,0,0,2425,0,0
201506,2015-06-01,"California",20311,38904296,20311,0,0,38904296,0,0,20311,0,0
201506,2015-06-01,"Colorado",2902,5454328,2902,0,0,5454328,0,0,2902,0,0
201506,2015-06-01,"Connecticut",2367,3588561,2367,0,0,3588561,0,0,2367,0,0
